gene_symbol_A	hprd_id_A	protein_accession_A	gene_symbol_B	hrpd_id_B	protein_accession_B
FZR1	4687	NP_001129670.1	SKIL	1319	NP_005405.2
CPNE1	5014	NP_003906.2	SKIL	1319	NP_005405.2
CPNE2	5015	NP_689940.3	SKIL	1319	NP_005405.2
CPNE4	5017	NP_570720.1	SKIL	1319	NP_005405.2
SMURF2	6901	NP_073576.1	SKIL	1319	NP_005405.2
CBL	1320	NP_005179.2	CBL	1320	NP_005179.2
NHEJ1	7784	NP_079058.1	LIG4	3500	NP_002303.2
ADRA1D	79	NP_000669.1	FLNC	18	NP_001449.3
KLK3	1461	NP_001639.1	SERPINA3	120	NP_001076.2
PLCG1	1398	NP_002651.2	CBL	1320	NP_005179.2
PTPN6	1475	NP_536859.1	CBL	1320	NP_005179.2
TYK2	1490	NP_003322.3	CBL	1320	NP_005179.2
ZAP70	1495	NP_001070.2	CBL	1320	NP_005179.2
ITK	1746	NP_005537.3	CBL	1320	NP_005179.2
ABL1	1809	NP_009297.2	CBL	1320	NP_005179.2
SRC	1819	NP_005408.1	CBL	1320	NP_005179.2
NOTCH1	1827	NP_060087.3	CBL	1320	NP_005179.2
BLK	1866	NP_001706.2	CBL	1320	NP_005179.2
BTK	2248	NP_000052.1	CBL	1320	NP_005179.2
F5	1964	NP_000121.2	SERPINA3	120	NP_001076.2
SH3KBP1	2301	NP_114098.1	CBL	1320	NP_005179.2
SYK	2514	NP_003168.2	CBL	1320	NP_005179.2
SCN5A	2543	NP_932173.1	CBL	1320	NP_005179.2
VAV2	2694	NP_001127870.1	CBL	1320	NP_005179.2
NCK1	2740	NP_006144.1	CBL	1320	NP_005179.2
SHC1	2780	NP_001123512.1	CBL	1320	NP_005179.2
INPPL1	2900	NP_001558.3	CBL	1320	NP_005179.2
SLA	3060	NP_006739.2	CBL	1320	NP_005179.2
PTK2B	3131	NP_004094.3	CBL	1320	NP_005179.2
UBE2G1	3340	NP_003333.1	CBL	1320	NP_005179.2
POLA1	2416	NP_058633.2	SERPINA3	120	NP_001076.2
LCP2	3362	NP_005556.1	CBL	1320	NP_005179.2
CRKL	3596	NP_005198.1	CBL	1320	NP_005179.2
SPRY2	3916	NP_005833.1	CBL	1320	NP_005179.2
KHDRBS1	3926	NP_006550.1	CBL	1320	NP_005179.2
EPHB6	4133	NP_004436.2	CBL	1320	NP_005179.2
UBE2D2	4268	NP_003330.1	CBL	1320	NP_005179.2
UBE2G2	4387	NP_003334.2	CBL	1320	NP_005179.2
PIK3R2	4404	NP_005018.1	CBL	1320	NP_005179.2
CD151	3763	NP_004348.2	ITGA3	5431	NP_005492.1
UBE2L3	4762	NP_003338.1	CBL	1320	NP_005179.2
CTRC	3242	NP_009203.2	SERPINA3	120	NP_001076.2
CD2AP	5026	NP_036252.1	CBL	1320	NP_005179.2
CD151	3763	NP_004348.2	ITGB1	628	NP_391987.1
SORBS1	5587	NP_001030126.1	CBL	1320	NP_005179.2
SLA2	5955	NP_115590.1	CBL	1320	NP_005179.2
PTPN22	6100	NP_057051.3	CBL	1320	NP_005179.2
SHC1	2780	NP_001123512.1	CD81	8924	NP_004347.1
FRS2	6372	NP_006645.3	CBL	1320	NP_005179.2
EIF5B	7304	NP_056988.3	CBL	1320	NP_005179.2
SMAD5	4381	NP_005894.3	SNRPA	1658	NP_004587.1
DNAJC1	9922	NP_071760.2	SERPINA3	120	NP_001076.2
CDKL2	16021	NP_003939.1	CBL	1320	NP_005179.2
UBASH3B	16463	NP_116262.2	CBL	1320	NP_005179.2
PGGT1B	3612	NP_005014.2	RHOB	1321	NP_004031.1
PDE6D	4056	NP_002592.1	RHOB	1321	NP_004031.1
ARHGDIG	4163	NP_001167.2	RHOB	1321	NP_004031.1
RHPN2	10192	NP_149094.3	RHOB	1321	NP_004031.1
ARHGEF3	12480	NP_001122087.1	RHOB	1321	NP_004031.1
ROCK1	3414	NP_005397.1	RHOC	1322	NP_786886.1
RTKN	3795	NP_001015055.1	RHOC	1322	NP_786886.1
CIT	9289	NP_009105.1	RHOC	1322	NP_786886.1
ATN1	6311	NP_001931.2	PSMA3	1463	NP_002779.1
RHOA	1323	NP_001655.1	RHOA	1323	NP_001655.1
PLCG1	1398	NP_002651.2	RHOA	1323	NP_001655.1
KCNA2	1443	NP_004965.1	RHOA	1323	NP_001655.1
PRKCA	1498	NP_002728.1	RHOA	1323	NP_001655.1
TGM2	1825	NP_004604.2	RHOA	1323	NP_001655.1
FLNA	2060	NP_001104026.1	RHOA	1323	NP_001655.1
OPHN1	2130	NP_002538.1	RHOA	1323	NP_001655.1
MCF2	2406	NP_001093325.1	RHOA	1323	NP_001655.1
KTN1	2661	NP_891556.1	RHOA	1323	NP_001655.1
VAV2	2694	NP_001127870.1	RHOA	1323	NP_001655.1
ATN1	6311	NP_001931.2	GIGYF1	10145	NP_072096.2
PKN1	3019	NP_998725.1	RHOA	1323	NP_001655.1
DGKQ	3127	NP_001338.2	RHOA	1323	NP_001655.1
PRKACA	3382	NP_002721.1	RHOA	1323	NP_001655.1
ROCK1	3414	NP_005397.1	RHOA	1323	NP_001655.1
TRIO	3537	NP_009049.2	RHOA	1323	NP_001655.1
ARHGDIA	3565	NP_004300.1	RHOA	1323	NP_001655.1
PPP1R12A	3606	NP_002471.1	RHOA	1323	NP_001655.1
RTKN	3795	NP_001015055.1	RHOA	1323	NP_001655.1
CNTNAP1	3825	NP_003623.1	RHOA	1323	NP_001655.1
PLD1	3855	NP_002653.1	RHOA	1323	NP_001655.1
CTSB	287	NP_680090.1	SLPI	121	NP_003055.1
PKN2	3972	NP_006247.1	RHOA	1323	NP_001655.1
PDE6D	4056	NP_002592.1	RHOA	1323	NP_001655.1
ARHGAP1	4108	NP_004299.1	RHOA	1323	NP_001655.1
ARHGDIB	4162	NP_001166.3	RHOA	1323	NP_001655.1
ARHGDIG	4163	NP_001167.2	RHOA	1323	NP_001655.1
AKAP13	5253	NP_006729.4	RHOA	1323	NP_001655.1
RABAC1	5375	NP_006414.2	RHOA	1323	NP_001655.1
ARHGEF4	5559	NP_056135.2	RHOA	1323	NP_001655.1
VAV3	5706	NP_006104.4	RHOA	1323	NP_001655.1
ARHGEF12	9207	NP_056128.1	RHOA	1323	NP_001655.1
CTSS	292	NP_004070.3	SLPI	121	NP_003055.1
CIT	9289	NP_009105.1	RHOA	1323	NP_001655.1
ARHGEF11	9302	NP_937879.1	RHOA	1323	NP_001655.1
ICMT	9321	NP_036537.1	RHOA	1323	NP_001655.1
SRGAP1	9406	NP_065813.1	RHOA	1323	NP_001655.1
DAAM1	9433	NP_055807.1	RHOA	1323	NP_001655.1
RHPN2	10192	NP_149094.3	RHOA	1323	NP_001655.1
SH3BP1	10227	NP_061830.3	RHOA	1323	NP_001655.1
ARHGEF2	10458	NP_001155855.1	RHOA	1323	NP_001655.1
DEF6	10869	NP_071330.3	RHOA	1323	NP_001655.1
GMIP	11005	NP_057657.2	RHOA	1323	NP_001655.1
CTSL1	293	NP_001903.1	SLPI	121	NP_003055.1
RAP1GDS1	11763	NP_001093896.1	RHOA	1323	NP_001655.1
TRPC1	11894	NP_003295.1	RHOA	1323	NP_001655.1
CNKSR1	11937	AAH11604.1	RHOA	1323	NP_001655.1
ARHGEF18	12479	NP_001124427.1	RHOA	1323	NP_001655.1
ARHGEF3	12480	NP_001122087.1	RHOA	1323	NP_001655.1
-	13573	NP_001104740.1	RHOA	1323	NP_001655.1
MCF2L	14371	NP_001106203.1	RHOA	1323	NP_001655.1
-	15244	NP_001073948.1	RHOA	1323	NP_001655.1
DOCK7	16833	NP_212132.2	RHOA	1323	NP_001655.1
SMAD5	4381	NP_005894.3	PSMD11	5119	NP_002806.2
ADRA1B	80	NP_000670.1	FLNC	18	NP_001449.3
ELANE	554	NP_001963.1	SLPI	121	NP_003055.1
RHPN1	17973	NP_443156.2	RHOA	1323	NP_001655.1
SPRED2	18100	NP_861449.2	RHOA	1323	NP_001655.1
SMAD5	4381	NP_005894.3	U2AF2	1872	NP_009210.1
SMAD5	4381	NP_005894.3	SOX5	18086	NP_008871.3
OAZ1	3346	NP_004143.1	ODC1	1324	NP_002530.1
OAZ2	11966	AAF99601.1	ODC1	1324	NP_002530.1
ACP5	1374	NP_001602.1	SPP1	1325	NP_001035147.1
PRKCA	1498	NP_002728.1	SPP1	1325	NP_001035147.1
MMP7	1525	NP_002414.1	SPP1	1325	NP_001035147.1
ITGAV	1903	NP_002201.1	SPP1	1325	NP_001035147.1
GRN	733	NP_002078.1	SLPI	121	NP_003055.1
ITGA9	4910	NP_002198.2	SPP1	1325	NP_001035147.1
PRKG1	8910	NP_006249.1	SPP1	1325	NP_001035147.1
SMAD5	4381	NP_005894.3	HBG2	792	NP_000175.1
TTN	1787	NP_596869.3	NBR1	1326	NP_114064.1
CIB1	3800	NP_006375.2	NBR1	1326	NP_114064.1
FEZ1	9212	NP_005094.1	NBR1	1326	NP_114064.1
VAPA	9299	NP_003565.4	OSBP	1327	NP_002547.1
SMAD5	4381	NP_005894.3	RBM4	3982	NP_002887.2
AVP	1891	NP_000481.2	OXTR	1328	NP_000907.2
OXT	8880	NP_000906.1	OXTR	1328	NP_000907.2
KLK3	1461	NP_001639.1	SLPI	121	NP_003055.1
PCSK6	1329	NP_612193.1	PCSK6	1329	NP_612193.1
PCSK6	1329	NP_612193.1	PMCH	1459	NP_002665.2
PCSK6	1329	NP_612193.1	FLG	15920	NP_002007.1
RB1	1574	NP_000312.2	PAX2	1330	NP_003981.2
MAPK8	3100	NP_620637.1	PAX2	1330	NP_003981.2
WT1	6163	NP_077744.3	PAX2	1330	NP_003981.2
PAXIP1	8491	NP_031375.3	PAX2	1330	NP_003981.2
SFRP2	16041	NP_003004.1	PAX2	1330	NP_003981.2
HIRA	2583	NP_003316.3	PAX7	1331	NP_002575.1
MEOX1	2537	NP_004518.1	PAX1	1332	NP_006183.2
PRSS2	3335	NP_002761.1	SLPI	121	NP_003055.1
MEOX2	2760	NP_005915.2	PAX1	1332	NP_006183.2
PAX5	1334	NP_057953.1	PAX5	1334	NP_057953.1
MYB	1810	NP_001123645.1	PAX5	1334	NP_057953.1
ID3	2608	NP_002158.3	PAX5	1334	NP_057953.1
KPNA2	2818	NP_002257.1	PAX5	1334	NP_057953.1
KPNA1	2819	NP_002255.3	PAX5	1334	NP_057953.1
DAXX	4424	NP_001135442.1	PAX5	1334	NP_057953.1
TLE4	5502	AAH59405.1	PAX5	1334	NP_057953.1
SMAD5	4381	NP_005894.3	RYR2	1619	NP_001026.2
NKX2-1	2798	NP_001073136.1	PAX8	1335	NP_003457.1
ATN1	6311	NP_001931.2	SIAH1	3736	NP_001006611.1
SMAD3	4380	NP_005893.1	PAX8	1335	NP_003457.1
WBP2	6097	NP_036610.2	PAX8	1335	NP_003457.1
PAX9	1336	NP_006185.1	KDM5B	9251	NP_006609.3
SRF	2788	NP_003122.1	PRRX1	1337	NP_073207.1
GTF2I	3399	NP_127492.1	PRRX1	1337	NP_073207.1
MAFG	3605	NP_002350.1	PRRX1	1337	NP_073207.1
MAFF	5343	NP_036455.1	PRRX1	1337	NP_073207.1
REG3A	1342	NP_620355.1	REG1A	1338	NP_002900.2
CTRC	3242	NP_009203.2	SPINK1	1341	NP_003113.2
PLSCR1	8855	NP_066928.1	SLPI	121	NP_003055.1
PRSS7	5972	NP_002763.2	SPINK1	1341	NP_003113.2
NRSN1	18285	NP_542454.3	SPINK1	1341	NP_003113.2
SMAD5	4381	NP_005894.3	VPS24	15650	NP_057163.1
TRHDE	9506	NP_037513.1	REG3A	1342	NP_620355.1
SMAD5	4381	NP_005894.3	BCAT1	216	NP_005495.2
SMAD5	4381	NP_005894.3	PPIL4	7606	NP_624311.1
SMAD5	4381	NP_005894.3	SNRNP70	1617	NP_003080.2
NFX1	11936	NP_002495.2	ELAVL4	1343	NP_001138247.1
SMAD5	4381	NP_005894.3	WWP1	3811	NP_008944.1
SERPINC1	122	NP_000479.1	SERPINC1	122	NP_000479.1
SPG20	6170	NP_055902.1	ZFYVE9	4782	NP_004790.2
PTH1R	1347	NP_000307.1	PTH	1345	NP_000306.1
MEP1A	2666	NP_005579.2	PTH	1345	NP_000306.1
PTH2R	3276	NP_005039.1	PTH	1345	NP_000306.1
PCNA	1456	NP_002583.1	CCND1	1346	NP_444284.1
RB1	1574	NP_000312.2	CCND1	1346	NP_444284.1
SP1	1796	NP_612482.2	CCND1	1346	NP_444284.1
TAF1	2436	NP_004597.2	CCND1	1346	NP_444284.1
AR	2437	NP_000035.2	CCND1	1346	NP_444284.1
IFI27	2479	NP_005523.3	CCND1	1346	NP_444284.1
SDC2	803	NP_002989.2	SERPINC1	122	NP_000479.1
CDKN1B	2867	NP_004055.1	CCND1	1346	NP_444284.1
MYBL2	3247	NP_002457.1	CCND1	1346	NP_444284.1
PRKACA	3382	NP_002721.1	CCND1	1346	NP_444284.1
NCOA3	3570	NP_858045.1	CCND1	1346	NP_444284.1
NCOA1	4070	NP_003734.3	CCND1	1346	NP_444284.1
EP300	4078	NP_001420.2	CCND1	1346	NP_444284.1
CDK6	4533	NP_001250.1	CCND1	1346	NP_444284.1
AKAP8	5258	NP_005849.1	CCND1	1346	NP_444284.1
GSK3B	5418	NP_002084.2	CCND1	1346	NP_444284.1
KLK2	1006	NP_005542.1	SERPINC1	122	NP_000479.1
CCNDBP1	6156	NP_036274.3	CCND1	1346	NP_444284.1
KAT2B	6780	NP_003875.3	CCND1	1346	NP_444284.1
RBX1	6794	NP_055063.1	CCND1	1346	NP_444284.1
THRA	7185	NP_003241.2	CCND1	1346	NP_444284.1
THRB	7521	NP_000452.2	CCND1	1346	NP_444284.1
HDAC3	8950	NP_003874.2	CCND1	1346	NP_444284.1
ORC4L	9118	NP_002543.2	CCND1	1346	NP_444284.1
CUL3	9123	NP_003581.1	CCND1	1346	NP_444284.1
DMTF1	9770	NP_066968.3	CCND1	1346	NP_444284.1
HERC5	10502	NP_057407.2	CCND1	1346	NP_444284.1
PLG	1417	NP_000292.1	SERPINC1	122	NP_000479.1
MCM10	11297	NP_877428.1	CCND1	1346	NP_444284.1
NPDC1	12048	NP_056207.3	CCND1	1346	NP_444284.1
BMP4	207	NP_001193.2	ZFYVE9	4782	NP_004790.2
PTHLH	1348	NP_945316.1	PTH1R	1347	NP_000307.1
SLC9A3R1	5406	NP_004243.1	PTH1R	1347	NP_000307.1
SLC9A3R2	5946	NP_001123484.1	PTH1R	1347	NP_000307.1
KLK3	1461	NP_001639.1	PTHLH	1348	NP_945316.1
KPNB1	4114	NP_002256.2	PTHLH	1348	NP_945316.1
CLU	1706	NP_001822.2	PON1	1351	NP_000437.3
JUP	1414	NP_002221.1	DSG3	1355	NP_001935.2
ADRA1A	81	NP_150646.3	FLNC	18	NP_001449.3
F2	1488	NP_000497.1	SERPINC1	122	NP_000479.1
CASP3	2799	NP_004337.2	DSG3	1355	NP_001935.2
TAP2	1360	NP_000535.3	TAP1	1359	NP_000584.2
PDIA3	3625	NP_005304.3	TAP1	1359	NP_000584.2
TAPBP	9061	NP_757345.2	TAP1	1359	NP_000584.2
TAPBP	9061	NP_757345.2	TAP2	1360	NP_000535.3
PRKCA	1498	NP_002728.1	PAM	1361	NP_000910.2
KALRN	6859	NP_001019831.2	PAM	1361	NP_000910.2
RASSF9	8826	NP_005438.2	PAM	1361	NP_000910.2
UHMK1	12318	NP_787062.1	PAM	1361	NP_000910.2
PIK3R1	1381	NP_852664.1	NUP85	1363	NP_079120.1
VIM	1899	NP_003371.2	NUP85	1363	NP_079120.1
PRKACA	3382	NP_002721.1	NUP85	1363	NP_079120.1
DYNC1LI1	10917	NP_057225.2	NUP85	1363	NP_079120.1
PRKACA	3382	NP_002721.1	PLIN1	1364	NP_002657.3
PRPH2	1553	NP_000313.2	PRPH	1365	NP_006253.2
PEX10	4175	NP_722540.1	PEX2	1367	NP_000309.1
ABCD3	1368	NP_002849.1	ABCD3	1368	NP_002849.1
COL6A2	2110	NP_001840.3	ABCD3	1368	NP_002849.1
ABCD1	2300	NP_000024.2	ABCD3	1368	NP_002849.1
CA2	2023	NP_000058.1	SLC9A1	123	NP_003038.2
PEX19	2610	NP_002848.1	ABCD3	1368	NP_002849.1
ABCD2	3051	NP_005155.1	ABCD3	1368	NP_002849.1
MAPK1	1496	NP_002736.3	PPARA	1369	NP_001001930.1
RXRA	1577	NP_002948.1	PPARA	1369	NP_001001930.1
NCOR2	2910	NP_006303.3	PPARA	1369	NP_001001930.1
NCOR1	2911	NP_006302.2	PPARA	1369	NP_001001930.1
DUT	3165	P33316	PPARA	1369	NP_001001930.1
MAPK3	3479	NP_002737.2	PPARA	1369	NP_001001930.1
DAP3	3646	NP_004623.1	PPARA	1369	NP_001001930.1
NRIP1	3927	NP_003480.2	PPARA	1369	NP_001001930.1
NCOA1	4070	NP_003734.3	PPARA	1369	NP_001001930.1
EP300	4078	NP_001420.2	PPARA	1369	NP_001001930.1
MED1	5055	NP_004765.2	PPARA	1369	NP_001001930.1
PPARGC1A	5155	NP_037393.1	PPARA	1369	NP_001001930.1
AKAP13	5253	NP_006729.4	PPARA	1369	NP_001001930.1
GADD45B	5382	NP_056490.2	PPARA	1369	NP_001001930.1
GADD45G	5383	NP_006696.1	PPARA	1369	NP_001001930.1
MED24	6107	NP_055630.2	PPARA	1369	NP_001001930.1
NR1H3	7211	NP_005684.2	PPARA	1369	NP_001001930.1
YWHAB	3184	NP_003395.1	SLC9A1	123	NP_003038.2
AIP	10408	NP_003968.2	PPARA	1369	NP_001001930.1
NRBF2	11401	NP_110386.2	PPARA	1369	NP_001001930.1
-	11459	NP_001032412.2	PPARA	1369	NP_001001930.1
MECR	12192	NP_057095.2	PPARA	1369	NP_001001930.1
SCYL2	7642	NP_060458.3	ZFYVE9	4782	NP_004790.2
SLC2A4	688	NP_001033.1	ACTN4	5222	NP_004915.2
SLC2A4	688	NP_001033.1	GAPDH	713	NP_002037.2
SLC2A4	688	NP_001033.1	ACOX1	2030	NP_004026.2
YWHAZ	3183	NP_003397.1	PDC	1373	NP_002588.3
PRKACA	3382	NP_002721.1	PDC	1373	NP_002588.3
MAP4K4	5235	NP_663719.1	SLC9A1	123	NP_003038.2
CAMK2A	6532	NP_057065.2	PDC	1373	NP_002588.3
GPC4	2160	NP_001439.2	ACP5	1374	NP_001602.1
GPLD1	3946	NP_001494.2	ALPP	1379	NP_001623.3
PIGK	5474	NP_005473.1	ALPP	1379	NP_001623.3
PIK3R1	1381	NP_852664.1	PIK3R1	1381	NP_852664.1
SLC2A4	688	NP_001033.1	PRKAR1A	1786	NP_002725.1
PDGFRB	1423	NP_002600.1	PIK3R1	1381	NP_852664.1
PECAM1	1425	NP_000433.3	PIK3R1	1381	NP_852664.1
PFN1	1452	NP_005013.1	PIK3R1	1381	NP_852664.1
PTPN11	1470	NP_002825.3	PIK3R1	1381	NP_852664.1
-	6101	NP_009167.1	SLC9A1	123	NP_003038.2
SLC2A4	688	NP_001033.1	RAB7A	3805	NP_004628.4
TYK2	1490	NP_003322.3	PIK3R1	1381	NP_852664.1
CDKN2A	2542	NP_478102.1	NCL	1245	NP_005372.2
CD28	1727	NP_006130.1	PIK3R1	1381	NP_852664.1
CD7	1732	NP_006128.1	PIK3R1	1381	NP_852664.1
CD4	1740	NP_000607.1	PIK3R1	1381	NP_852664.1
GTF2H1	1807	NP_005307.1	PIK3R1	1381	NP_852664.1
HRAS	1813	NP_005334.1	PIK3R1	1381	NP_852664.1
FES	1814	NP_001996.1	PIK3R1	1381	NP_852664.1
SRC	1819	NP_005408.1	PIK3R1	1381	NP_852664.1
TESC	11649	NP_060369.2	SLC9A1	123	NP_003038.2
ERBB3	1820	NP_001973.2	PIK3R1	1381	NP_852664.1
TGFBR1	1822	NP_004603.1	PIK3R1	1381	NP_852664.1
TUBG1	1853	NP_001061.2	PIK3R1	1381	NP_852664.1
SH3KBP1	2301	NP_114098.1	PIK3R1	1381	NP_852664.1
WAS	2314	NP_000368.1	PIK3R1	1381	NP_852664.1
ERAS	2339	NP_853510.1	PIK3R1	1381	NP_852664.1
CSF2RA	2381	NP_006131.2	PIK3R1	1381	NP_852664.1
ARAF	2405	NP_001645.1	PIK3R1	1381	NP_852664.1
SYN1	2433	NP_008881.2	PIK3R1	1381	NP_852664.1
RRAS2	2518	NP_036382.2	PIK3R1	1381	NP_852664.1
UBTF	2814	NP_055048.1	CD3EAP	125	NP_036231.1
MST1R	2545	NP_002438.2	PIK3R1	1381	NP_852664.1
TEK	2571	NP_000450.2	PIK3R1	1381	NP_852664.1
TIE1	2572	NP_005415.1	PIK3R1	1381	NP_852664.1
SHB	2635	NP_003019.2	PIK3R1	1381	NP_852664.1
TYRO3	2641	NP_006284.2	PIK3R1	1381	NP_852664.1
SLC9A2	2756	NP_003039.2	PIK3R1	1381	NP_852664.1
SHC1	2780	NP_001123512.1	PIK3R1	1381	NP_852664.1
PTK2	2859	NP_005598.3	PIK3R1	1381	NP_852664.1
IRS2	2878	NP_003740.2	PIK3R1	1381	NP_852664.1
INPP4A	2949	NP_001127696.1	PIK3R1	1381	NP_852664.1
TAF1A	5362	NP_005672.1	CD3EAP	125	NP_036231.1
GHR	2971	NP_000154.1	PIK3R1	1381	NP_852664.1
MAPK8	3100	NP_620637.1	PIK3R1	1381	NP_852664.1
PTK2B	3131	NP_004094.3	PIK3R1	1381	NP_852664.1
SLC2A4	688	NP_001033.1	CTSD	291	NP_001900.1
CRKL	3596	NP_005198.1	PIK3R1	1381	NP_852664.1
RAC1	3627	NP_061485.1	PIK3R1	1381	NP_852664.1
TUBA1B	3960	NP_006073.2	PIK3R1	1381	NP_852664.1
IL1RAP	4021	NP_002173.1	PIK3R1	1381	NP_852664.1
ADAM12	4092	NP_003465.3	PIK3R1	1381	NP_852664.1
ARHGAP1	4108	NP_004299.1	PIK3R1	1381	NP_852664.1
CAPN3	255	NP_000061.1	FLNC	18	NP_001449.3
CD3E	8923	NP_000724.1	CD3EAP	125	NP_036231.1
PIK3CD	4161	AAB53966.1	PIK3R1	1381	NP_852664.1
PIK3CB	4234	NP_006210.1	PIK3R1	1381	NP_852664.1
BCAR1	4248	NP_055382.2	PIK3R1	1381	NP_852664.1
IRS4	4620	NP_003595.1	PIK3R1	1381	NP_852664.1
SOCS1	4669	NP_003736.1	PIK3R1	1381	NP_852664.1
CD2AP	5026	NP_036252.1	PIK3R1	1381	NP_852664.1
HGS	5085	NP_004703.1	PIK3R1	1381	NP_852664.1
GAB1	5116	NP_997006.1	PIK3R1	1381	NP_852664.1
TOM1L1	5266	NP_005477.2	PIK3R1	1381	NP_852664.1
TRAT1	5392	NP_057472.2	PIK3R1	1381	NP_852664.1
POLR1E	15096	NP_071935.1	CD3EAP	125	NP_036231.1
YWHAG	5639	NP_036611.2	PIK3R1	1381	NP_852664.1
AGAP2	5687	NP_001116244.1	PIK3R1	1381	NP_852664.1
VAV3	5706	NP_006104.4	PIK3R1	1381	NP_852664.1
GAB2	5866	NP_036428.1	PIK3R1	1381	NP_852664.1
PIK3AP1	6401	NP_689522.2	PIK3R1	1381	NP_852664.1
GAB3	6571	NP_001075042.1	PIK3R1	1381	NP_852664.1
CD3E	8923	NP_000724.1	PIK3R1	1381	NP_852664.1
-	12257	NP_001136157.1	PIK3R1	1381	NP_852664.1
PPM1A	16199	NP_808821.2	PIK3R1	1381	NP_852664.1
WBP11	18293	NP_057396.1	PIK3R1	1381	NP_852664.1
IFNW1	944	NP_002168.1	IFNAR1	126	NP_000620.2
SLC2A4	688	NP_001033.1	ARF3	56	NP_001650.1
SLC2A4	688	NP_001033.1	HK2	3080	NP_000180.2
PDGFRB	1423	NP_002600.1	PIK3CA	1382	NP_006209.2
PRKCD	1501	NP_006245.2	PIK3CA	1382	NP_006209.2
HRAS	1813	NP_005334.1	PIK3CA	1382	NP_006209.2
SH3KBP1	2301	NP_114098.1	PIK3CA	1382	NP_006209.2
GNAQ	2998	NP_002063.2	PIK3CA	1382	NP_006209.2
IRS4	4620	NP_003595.1	PIK3CA	1382	NP_006209.2
SLC2A4	688	NP_001033.1	SERPINH1	2968	NP_001226.2
PIK3R3	5831	NP_003620.3	PIK3CA	1382	NP_006209.2
IFNA2	950	NP_000596.2	IFNAR1	126	NP_000620.2
MRAS	6662	NP_036351.3	PIK3CA	1382	NP_006209.2
RASD2	15210	AAG00868.1	PIK3CA	1382	NP_006209.2
GABRB1	15924	NP_000803.2	PIK3CA	1382	NP_006209.2
PRKCA	1498	NP_002728.1	PFKFB2	1383	NP_006203.2
PRKAA2	2735	NP_006243.2	PFKFB2	1383	NP_006203.2
YWHAZ	3183	NP_003397.1	PFKFB2	1383	NP_006203.2
PRKACA	3382	NP_002721.1	PFKFB2	1383	NP_006203.2
PRKAA1	4115	NP_996790.3	PFKFB2	1383	NP_006203.2
SLC2A4	688	NP_001033.1	CFL1	3261	NP_005498.1
DYNLL1	3334	NP_003737.1	PFKP	1384	NP_002618.1
IFNB1	972	NP_002167.1	IFNAR1	126	NP_000620.2
SLC2A4	688	NP_001033.1	STRN3	11613	NP_001077362.1
SLC2A4	688	NP_001033.1	MVP	5475	NP_059447.2
PFKM	1988	NP_000280.1	PFKL	1385	NP_001002021.1
SLC2A4	688	NP_001033.1	PDIA6	7504	NP_005733.1
SLC2A4	688	NP_001033.1	UBA52	8931	NP_003324.1
SLC2A4	688	NP_001033.1	-	10126	NP_006446.1
SLC2A4	688	NP_001033.1	DLD	2006	NP_000099.2
SLC2A4	688	NP_001033.1	BSG	176	NP_001719.2
APOA1	2517	NP_000030.1	PDE1A	1387	NP_005010.2
SLC2A4	688	NP_001033.1	HSP90AA1	777	NP_001017963.2
PIK3R1	1381	NP_852664.1	IFNAR1	126	NP_000620.2
SLC2A4	688	NP_001033.1	UBE2N	4725	NP_003339.1
SLC2A4	688	NP_001033.1	KBTBD10	7610	NP_006054.2
SLC2A4	688	NP_001033.1	ARFIP1	9331	NP_001020766.1
S100A1	1489	NP_006262.1	PGM1	1389	NP_002624.2
S100B	1505	NP_006263.1	PGM1	1389	NP_002624.2
SLC2A4	688	NP_001033.1	LEPRE1	11227	NP_071751.3
SLC2A4	688	NP_001033.1	ACTN1	20	NP_001123476.1
NAA38	6288	NP_057284.1	PGD	1391	NP_002622.2
SLC2A4	688	NP_001033.1	MAP1S	10461	NP_060644.4
SLC2A4	688	NP_001033.1	FAR1	14724	NP_115604.1
PTPN11	1470	NP_002825.3	IFNAR1	126	NP_000620.2
SLC2A4	688	NP_001033.1	PSMD7	1147	NP_002802.2
S100A1	1489	NP_006262.1	PLN	1395	NP_002658.1
PPP1R3A	2950	NP_002702.2	PLN	1395	NP_002658.1
PRKACA	3382	NP_002721.1	PLN	1395	NP_002658.1
SLN	3729	NP_003054.1	PLN	1395	NP_002658.1
SLC2A4	688	NP_001033.1	ESYT2	13053	NP_065779.1
PLA2G2A	1397	NP_000291.1	PLA2G1B	1396	NP_000919.1
BGN	2359	NP_001702.1	PLA2G1B	1396	NP_000919.1
PLAA	4850	NP_001026859.1	PLA2G1B	1396	NP_000919.1
SLC2A4	688	NP_001033.1	C1QTNF5	10575	NP_056460.1
PTPN6	1475	NP_536859.1	IFNAR1	126	NP_000620.2
SLC2A4	688	NP_001033.1	CCDC116	8203	NP_689825.2
PLA2R1	9222	NP_031392.3	PLA2G2A	1397	NP_000291.1
PDGFRB	1423	NP_002600.1	PLCG1	1398	NP_002651.2
PECAM1	1425	NP_000433.3	PLCG1	1398	NP_002651.2
PDGFRA	1429	NP_006197.1	PLCG1	1398	NP_002651.2
FGFR2	1492	NP_075261.1	PLCG1	1398	NP_002651.2
ZAP70	1495	NP_001070.2	PLCG1	1398	NP_002651.2
GNB2L1	1503	NP_006089.1	PLCG1	1398	NP_002651.2
